Initializing...
It is recommended that this program runs with GNU screen!
create db.txt file based on date
all friends of top12k twitter accounts and their profile are stored in the db, now we start to find their most followed friends
query to find number of followers of friends and to store the output in friends file.
         269257 function calls (260423 primitive calls) in 0.892 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       31    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 token.py:2(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8001(getdoc)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 sessions.py:96(SessionRedirectMixin)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1531(_make_netmask)
        1    0.000    0.000    0.000    0.000 structures.py:3(<module>)
        3    0.000    0.000    0.000    0.000 connection_cext.py:82(_add_default_conn_attrs)
      229    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.000    0.000 subprocess.py:1632(<genexpr>)
        1    0.000    0.000    0.000    0.000 string.py:80(Template)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
        7    0.000    0.000    0.000    0.000 base.py:95(catch_errors_and_unavailability)
      115    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 endpoints.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:474(SSLContext)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 implicit.py:2(<module>)
        2    0.000    0.000    0.000    0.000 catch23.py:104(wrapper)
        1    0.000    0.000    0.000    0.000 _pydecimal.py:513(Decimal)
        1    0.000    0.000    0.000    0.000 introspect.py:2(<module>)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 resource_owner_password_credentials.py:2(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        6    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
      236    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      370    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 refresh_token.py:2(<module>)
      130    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 revocation.py:2(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2938(__array_finalize__)
        1    0.000    0.000    0.000    0.000 client_credentials.py:2(<module>)
        1    0.000    0.000    0.000    0.000 conversion.py:29(<module>)
        2    0.000    0.000    0.000    0.000 cursor_cext.py:84(__init__)
      205    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 mongo_client.py:80(MongoClient)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        5    0.000    0.000    0.000    0.000 son.py:40(__init__)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
      205    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 request_token.py:2(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pre_configured.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 access_token.py:2(<module>)
       50    0.000    0.000    0.000    0.000 re.py:270(escape)
        1    0.000    0.000    0.000    0.000 _setmixin.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
       21    0.000    0.000    0.000    0.000 enum.py:146(<dictcomp>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1170(InputGetter)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1099(_make_netmask)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
      483    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 server_description.py:15(<module>)
        1    0.000    0.000    0.000    0.000 jpcntx.py:30(<module>)
        1    0.000    0.000    0.000    0.000 dbapi.py:29(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 signature_only.py:2(<module>)
       44    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        1    0.000    0.000    0.000    0.000 ismaster.py:15(<module>)
        1    0.000    0.000    0.000    0.000 objectid.py:48(ObjectId)
       21    0.000    0.000    0.000    0.000 enum.py:327(__getattr__)
        1    0.000    0.000    0.000    0.000 command_cursor.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:75(__call__)
      246    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       44    0.000    0.000    0.000    0.000 enum.py:899(_power_of_two)
       10    0.000    0.000    0.000    0.000 son.py:135(update)
        1    0.000    0.000    0.000    0.000 core.py:2782(__new__)
        9    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 collection.py:78(Collection)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        6    0.000    0.000    0.000    0.000 core.py:1152(__init__)
        1    0.000    0.000    0.000    0.000 core.py:3087(view)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
       66    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       10    0.000    0.000    0.000    0.000 connection_cext.py:705(handle_unread_result)
       12    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 settings.py:15(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        3    0.000    0.000    0.000    0.000 abstracts.py:70(__init__)
      303    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1655(_parse_hextet)
       14    0.000    0.000    0.000    0.000 posixpath.py:71(join)
      112    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 inspect.py:2416(_ParameterKind)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
        4    0.000    0.000    0.000    0.000 ssl.py:451(__new__)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      102    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        3    0.000    0.000    0.000    0.000 random.py:94(__init__)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:4(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 abstracts.py:65(MySQLConnectionAbstract)
        6    0.000    0.000    0.000    0.000 _pydecimal.py:522(__new__)
       21    0.000    0.000    0.000    0.000 enum.py:58(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:236(_sanity_check)
       29    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 os.py:613(get_exec_path)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 response.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 uuid.py:70(SafeUUID)
       78    0.000    0.000    0.000    0.000 _internal.py:795(<genexpr>)
        4    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
      364    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 tz_util.py:15(<module>)
        1    0.000    0.000    0.000    0.000 fields.py:73(<dictcomp>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1457(_get_handles)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:28(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        5    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 core.py:6376(__array_finalize__)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.000    0.000 ssl.py:168(_TLSContentType)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:613(_load_backward_compatible)
       44    0.000    0.000    0.000    0.000 six.py:103(__init__)
        7    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
      205    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 random.py:123(seed)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1213(IPv4Address)
        1    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 ssl.py:971(SSLSocket)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 codecs.py:1015(getwriter)
        5    0.000    0.000    0.000    0.000 six.py:90(__get__)
        3    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        9    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 types.py:3(<module>)
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:29(<module>)
      251    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       44    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 endpoints.py:30(EndpointsMixin)
        1    0.000    0.000    0.000    0.000 mongo_replica_set_client.py:15(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 cursor_cext.py:158(_handle_result)
        1    0.000    0.000    0.000    0.000 latin1prober.py:29(<module>)
      165    0.000    0.000    0.000    0.000 enum.py:457(<lambda>)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 gb2312prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 write_concern.py:15(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 code.py:15(<module>)
        1    0.000    0.000    0.000    0.000 int64.py:15(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
        1    0.000    0.000    0.000    0.000 web_application.py:2(<module>)
       13    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 datetime.py:2179(timezone)
       51    0.000    0.000    0.000    0.000 six.py:173(_add_module)
        1    0.000    0.000    0.000    0.000 server_selectors.py:15(<module>)
      132    0.000    0.000    0.000    0.000 six.py:87(__init__)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
        1    0.000    0.000    0.000    0.000 wait.py:1(<module>)
        2    0.000    0.000    0.000    0.000 contextlib.py:463(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 machar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timestamp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6744(<genexpr>)
        3    0.000    0.000    0.000    0.000 datetime.py:1566(__new__)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:6541(__init__)
        1    0.000    0.000    0.000    0.000 mbcharsetprober.py:30(<module>)
        1    0.000    0.000    0.000    0.000 uu.py:27(<module>)
        1    0.000    0.000    0.000    0.000 service_application.py:2(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:219(__init__)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
       10    0.000    0.000    0.000    0.000 _pydecimal.py:3938(_set_signal_dict)
       39    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 mobile_application.py:2(<module>)
       64    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fab15cc91f0}
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
       91    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.000    0.000 periodic_executor.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
      110    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:446(__exit__)
        1    0.000    0.000    0.000    0.000 legacy_application.py:2(<module>)
        1    0.000    0.000    0.000    0.000 backend_application.py:2(<module>)
        4    0.000    0.000    0.000    0.000 platform.py:1076(python_implementation)
        1    0.000    0.000    0.000    0.000 regex.py:15(<module>)
        1    0.000    0.000    0.000    0.000 re.py:325(_subx)
       10    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 py3compat.py:15(<module>)
       25    0.000    0.000    0.000    0.000 _pydecimal.py:3924(_set_integer_check)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
      116    0.000    0.000    0.000    0.000 enum.py:654(name)
        1    0.000    0.000    0.000    0.000 authorization.py:21(AuthorizationEndpoint)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.pow}
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:183(total_ordering)
        1    0.000    0.000    0.000    0.000 socket_checker.py:15(<module>)
       26    0.000    0.000    0.000    0.000 son.py:57(__setitem__)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
        1    0.000    0.000    0.000    0.000 read_concern.py:15(<module>)
        1    0.000    0.000    0.000    0.000 custom_types.py:29(<module>)
       62    0.000    0.000    0.000    0.000 enum.py:192(<genexpr>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
        4    0.000    0.000    0.000    0.000 uuid.py:130(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2912(_update_from)
       47    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        1    0.000    0.000    0.000    0.000 response.py:156(HTTPResponse)
        1    0.000    0.000    0.000    0.000 subprocess.py:634(_use_posix_spawn)
        5    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        2    0.000    0.000    0.000    0.000 abstracts.py:853(python_charset)
        1    0.000    0.000    0.000    0.000 ssl.py:467(Purpose)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6702(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 pool.py:1038(Pool)
        1    0.000    0.000    0.000    0.000 connection_cext.py:65(CMySQLConnection)
      154    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.000    0.000 polynomial.py:1442(Polynomial)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 cursor_cext.py:102(reset)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:12(is_appengine_sandbox)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        3    0.000    0.000    0.000    0.000 ufunclike.py:60(_fix_and_maybe_deprecate_out_named_y)
        4    0.000    0.000    0.000    0.000 platform.py:972(_sys_version)
        1    0.000    0.000    0.000    0.000 min_key.py:15(<module>)
       39    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        7    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
       36    0.000    0.000    0.000    0.000 enum.py:847(_high_bit)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        1    0.000    0.000    0.000    0.000 advisory.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:8(is_appengine)
        1    0.000    0.000    0.000    0.000 ipaddress.py:622(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 random.py:244(randint)
        1    0.000    0.000    0.000    0.000 read_preferences.py:443(ReadPreference)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
       44    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 abstracts.py:652(set_client_flags)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _iotools.py:499(StringConverter)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:15(<module>)
        1    0.000    0.000    0.000    0.000 re.py:315(_compile_repl)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
       61    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 ufunclike.py:43(_fix_out_named_y)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
        1    0.000    0.000    0.000    0.000 max_key.py:15(<module>)
       13    0.000    0.000    0.000    0.000 os.py:748(encode)
       14    0.000    0.000    0.000    0.000 os.py:800(fsencode)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 connection.py:58(MySQLConnection)
       10    0.000    0.000    0.000    0.000 connection_cext.py:607(unread_result)
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(__call__)
        1    0.000    0.000    0.000    0.000 _pydecimal.py:3869(Context)
        1    0.000    0.000    0.000    0.000 numeric.py:159(ones)
        1    0.000    0.000    0.000    0.000 mimetypes.py:384(_default_mime_types)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 pathlib.py:625(PurePath)
        1    0.000    0.000    0.000    0.000 contextlib.py:385(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:969(parse_template)
        4    0.000    0.000    0.000    0.000 six.py:191(load_module)
       57    0.000    0.000    0.000    0.000 enum.py:659(value)
       51    0.000    0.000    0.000    0.000 _pydecimal.py:3913(<genexpr>)
        3    0.000    0.000    0.000    0.000 random.py:721(getrandbits)
        1    0.000    0.000    0.000    0.000 token.py:21(TokenEndpoint)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6703(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1797(IPv6Address)
        1    0.000    0.000    0.000    0.000 resource.py:20(ResourceEndpoint)
        2    0.000    0.000    0.000    0.000 arrayprint.py:474(decorating_function)
        1    0.000    0.000    0.000    0.000 uuid.py:76(UUID)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
        1    0.000    0.000    0.000    0.000 cursor.py:104(Cursor)
       45    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
        1    0.000    0.000    0.000    0.000 client_options.py:144(ClientOptions)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:22(is_local_appengine)
        3    0.000    0.000    0.000    0.000 __init__.py:1347(_fixupChildren)
        1    0.000    0.000    0.000    0.000 random.py:200(randrange)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 datetime.py:1236(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:239(HtmlMixin)
        6    0.000    0.000    0.000    0.000 constants.py:462(get_default)
        1    0.000    0.000    0.000    0.000 socket.py:496(close)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        3    0.000    0.000    0.000    0.000 {built-in method _socket.gethostname}
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
       78    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        2    0.000    0.000    0.000    0.000 cursor_cext.py:153(_handle_warnings)
        1    0.000    0.000    0.000    0.000 pickle.py:405(_Pickler)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 ismaster.py:48(IsMaster)
        1    0.000    0.000    0.000    0.000 random.py:78(Random)
        1    0.000    0.000    0.000    0.000 metadata.py:28(MetadataEndpoint)
        4    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        1    0.000    0.000    0.000    0.000 topology.py:73(Topology)
        1    0.000    0.000    0.000    0.000 request_validator.py:16(RequestValidator)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 random.py:250(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 oauth2_session.py:20(OAuth2Session)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:187(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 socket.py:492(_real_close)
        1    0.000    0.000    0.000    0.000 ssl_context.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 gzip.py:120(GzipFile)
        1    0.000    0.000    0.000    0.000 ssl.py:812(SSLObject)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1397(IPv4Network)
        1    0.000    0.000    0.000    0.000 server_description.py:23(ServerDescription)
        1    0.000    0.000    0.000    0.000 threading.py:519(set)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        1    0.000    0.000    0.000    0.000 __init__.py:964(FormElement)
        1    0.000    0.000    0.000    0.000 subprocess.py:950(_get_devnull)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 idna.py:300(getregentry)
       14    0.000    0.000    0.000    0.000 mixins.py:30(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 pathlib.py:1021(Path)
        1    0.000    0.000    0.000    0.000 introspect.py:23(IntrospectEndpoint)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1889(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:213(socket)
        3    0.000    0.000    0.000    0.000 connection_cext.py:94(<listcomp>)
        1    0.000    0.000    0.000    0.000 cursor.py:310(MySQLCursor)
        1    0.000    0.000    0.000    0.000 _collections.py:106(HTTPHeaderDict)
       16    0.000    0.000    0.000    0.000 enum.py:352(__members__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1511(_BaseV6)
        1    0.000    0.000    0.000    0.000 ufunclike.py:18(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      105    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 revocation.py:22(RevocationEndpoint)
        4    0.000    0.000    0.000    0.000 __init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 subprocess.py:684(Popen)
        1    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
       77    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        3    0.000    0.000    0.000    0.000 six.py:155(_resolve)
