Initializing...
It is recommended that this program runs with GNU screen!
create db.txt file based on date
all friends of top12k twitter accounts and their profile are stored in the db, now we start to find their most followed friends
query to find number of followers of friends and to store the output in friends file.
         269257 function calls (260423 primitive calls) in 0.892 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 oauth1_auth.py:2(<module>)
        1    0.000    0.000    0.008    0.008 decimal.py:2(<module>)
        1    0.000    0.000    0.008    0.008 defmatrix.py:1(<module>)
        6    0.000    0.000    0.008    0.001 platform.py:884(system)
        8    0.000    0.000    0.008    0.001 platform.py:746(uname)
        1    0.000    0.000    0.008    0.008 platform.py:603(_syscmd_uname)
        1    0.000    0.000    0.008    0.008 ssl.py:4(<module>)
        2    0.000    0.000    0.007    0.004 shape_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _pydecimal.py:16(<module>)
        1    0.000    0.000    0.007    0.007 parser.py:5(<module>)
        3    0.000    0.000    0.007    0.002 __init__.py:179(connect)
      838    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        3    0.000    0.000    0.006    0.002 connection_cext.py:69(__init__)
        3    0.000    0.000    0.006    0.002 abstracts.py:955(connect)
       13    0.000    0.000    0.006    0.000 enum.py:434(_convert_)
        1    0.000    0.000    0.006    0.006 feedparser.py:5(<module>)
     9416    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
        1    0.000    0.000    0.006    0.006 find_top_12k_v4-0.py:124(initialize)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
      552    0.003    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
      885    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:376(cached)
      532    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.005    0.005 compression_support.py:15(<module>)
        1    0.000    0.000    0.005    0.005 mbcsgroupprober.py:30(<module>)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:10(<module>)
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
       21    0.002    0.000    0.005    0.000 enum.py:129(__new__)
      321    0.000    0.000    0.005    0.000 enum.py:278(__call__)
     5444    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      466    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        3    0.000    0.000    0.005    0.002 connection_cext.py:163(_open_connection)
        1    0.000    0.000    0.005    0.005 npyio.py:1(<module>)
       32    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.005    0.005 _policybase.py:1(<module>)
        1    0.000    0.000    0.005    0.005 defchararray.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
      612    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      929    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     8563    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
        1    0.004    0.004    0.004    0.004 find_top_12k_v4-0.py:211(create_urls)
      286    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.004    0.004 cursor_cext.py:29(<module>)
        1    0.000    0.000    0.004    0.004 abstracts.py:29(<module>)
    11834    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
      657    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       13    0.000    0.000    0.004    0.000 enum.py:381(_create_)
        1    0.000    0.000    0.004    0.004 platform.py:3(<module>)
      132    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
        3    0.004    0.001    0.004    0.001 {method 'connect' of '_mysql_connector.MySQL' objects}
        1    0.000    0.000    0.004    0.004 socket.py:4(<module>)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 monitoring.py:15(<module>)
        1    0.000    0.000    0.004    0.004 metadata.py:2(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.004    0.004 cursor.py:29(<module>)
      310    0.003    0.000    0.003    0.000 {built-in method _imp.source_hash}
        1    0.000    0.000    0.003    0.003 optionfiles.py:29(<module>)
        1    0.000    0.000    0.003    0.003 client_options.py:15(<module>)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
        3    0.000    0.000    0.003    0.001 request.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sjisprober.py:28(<module>)
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ssl_support.py:15(<module>)
 1376/304    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
        4    0.000    0.000    0.003    0.001 base.py:2(<module>)
      616    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.003    0.003 _datasource.py:1(<module>)
     6376    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.003    0.003 topology.py:15(<module>)
        1    0.000    0.000    0.003    0.003 pool.py:15(<module>)
        1    0.000    0.000    0.003    0.003 errors.py:29(<module>)
    20520    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      467    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        2    0.000    0.000    0.003    0.001 core.py:1(<module>)
17906/16470    0.002    0.000    0.003    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.003    0.003 configparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 scanner.py:1(<module>)
        1    0.000    0.000    0.003    0.003 helpers.py:15(<module>)
        1    0.000    0.000    0.003    0.003 objectid.py:15(<module>)
     1174    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
     1029    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x7fab16af7160}
        1    0.000    0.000    0.002    0.002 cookies.py:39(<module>)
        1    0.000    0.000    0.002    0.002 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
      397    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
    21131    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      419    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        1    0.000    0.000    0.002    0.002 contextvars.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
       80    0.000    0.000    0.002    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.002    0.002 bulk.py:15(<module>)
        1    0.000    0.000    0.002    0.002 pyopenssl_context.py:15(<module>)
        1    0.000    0.000    0.002    0.002 chardistribution.py:28(<module>)
      351    0.001    0.000    0.002    0.000 functools.py:34(update_wrapper)
      929    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 subprocess.py:368(check_output)
        1    0.000    0.000    0.002    0.002 _dtype_ctypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:448(run)
        2    0.000    0.000    0.002    0.001 authorization.py:2(<module>)
      273    0.000    0.000    0.002    0.000 function_base.py:460(add_newdoc)
     4586    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.002    0.002 linecache.py:1(<module>)
      929    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
       13    0.001    0.000    0.002    0.000 enum.py:451(<listcomp>)
      532    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      467    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      419    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
6613/6545    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
      612    0.001    0.000    0.002    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.002    0.002 client_session.py:15(<module>)
     5770    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 configparser.py:560(RawConfigParser)
      364    0.001    0.000    0.002    0.000 enum.py:64(__setitem__)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:206(decorator)
       43    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
      172    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
    11728    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.001    0.001 parameters.py:2(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
      224    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 models.py:3(<module>)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 monotonic.py:15(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
     2805    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     4464    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:4(<module>)
